id,clause_id,article_id,article_code,clause_no,point,text,role,normalized_text
article_3_clause_2_point_d,article_3_clause_2,article_3,3,2,d,"Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",condition_or_rule,khoan hong doi voi phap nhan thuong mai tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an tu nguyen sua chua boi thuong thiet hai gay ra chu dong ngan chan hoac khac phuc hau qua xay ra
article_9_clause_1_point_a,article_9_clause_1,article_9,9,1,a,"Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm;",definition_or_list,toi pham it nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi khong lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la phat tien phat cai tao khong giam giu hoac phat tu den 03 nam
article_9_clause_1_point_b,article_9_clause_1,article_9,9,1,b,Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù;,definition_or_list,toi pham nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 03 nam tu den 07 nam tu
article_9_clause_1_point_c,article_9_clause_1,article_9,9,1,c,Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù;,definition_or_list,toi pham rat nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi rat lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 07 nam tu den 15 nam tu
article_9_clause_1_point_d,article_9_clause_1,article_9,9,1,d,"Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình.",definition_or_list,toi pham dac biet nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi dac biet lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 15 nam tu den 20 nam tu tu chung than hoac tu hinh
article_27_clause_2_point_a,article_27_clause_2,article_27,27,2,a,05 năm đối với tội phạm ít nghiêm trọng;,condition_or_rule,05 nam doi voi toi pham it nghiem trong
article_27_clause_2_point_b,article_27_clause_2,article_27,27,2,b,10 năm đối với tội phạm nghiêm trọng;,condition_or_rule,10 nam doi voi toi pham nghiem trong
article_27_clause_2_point_c,article_27_clause_2,article_27,27,2,c,15 năm đối với tội phạm rất nghiêm trọng;,condition_or_rule,15 nam doi voi toi pham rat nghiem trong
article_27_clause_2_point_d,article_27_clause_2,article_27,27,2,d,20 năm đối với tội phạm đặc biệt nghiêm trọng.,condition_or_rule,20 nam doi voi toi pham dac biet nghiem trong
article_29_clause_1_point_a,article_29_clause_1,article_29,29,1,a,"Khi tiến hành điều tra, truy tố hoặc xét xử, do có sự thay đổi chính sách, pháp luật làm cho hành vi phạm tội không còn nguy hiểm cho xã hội nữa;",condition_or_rule,khi tien hanh dieu tra truy to hoac xet xu do co su thay doi chinh sach phap luat lam cho hanh vi pham toi khong con nguy hiem cho xa hoi nua
article_29_clause_1_point_b,article_29_clause_1,article_29,29,1,b,Khi có quyết định đại xá.,condition_or_rule,khi co quyet dinh dai xa
article_29_clause_2_point_a,article_29_clause_2,article_29,29,2,a,"Khi tiến hành điều tra, truy tố, xét xử do chuyển biến của tình hình mà người phạm tội không còn nguy hiểm cho xã hội nữa;",condition_or_rule,khi tien hanh dieu tra truy to xet xu do chuyen bien cua tinh hinh ma nguoi pham toi khong con nguy hiem cho xa hoi nua
article_29_clause_2_point_b,article_29_clause_2,article_29,29,2,b,"Khi tiến hành điều tra, truy tố, xét xử, người phạm tội mắc bệnh hiểm nghèo dẫn đến không còn khả năng gây nguy hiểm cho xã hội nữa;",condition_or_rule,khi tien hanh dieu tra truy to xet xu nguoi pham toi mac benh hiem ngheo dan den khong con kha nang gay nguy hiem cho xa hoi nua
article_29_clause_2_point_c,article_29_clause_2,article_29,29,2,c,"Trước khi hành vi phạm tội bị phát giác, người phạm tội tự thú, khai rõ sự việc, góp phần có hiệu quả vào việc phát hiện và điều tra tội phạm, cố gắng hạn chế đến mức thấp nhất hậu quả của tội phạm và lập công lớn hoặc có cống hiến đặc biệt, được Nhà nước và xã hội thừa nhận.",condition_or_rule,truoc khi hanh vi pham toi bi phat giac nguoi pham toi tu thu khai ro su viec gop phan co hieu qua vao viec phat hien va dieu tra toi pham co gang han che den muc thap nhat hau qua cua toi pham va lap cong lon hoac co cong hien dac biet duoc nha nuoc va xa hoi thua nhan
article_32_clause_1_point_a,article_32_clause_1,article_32,32,1,a,Cảnh cáo;,condition_or_rule,canh cao
article_32_clause_1_point_b,article_32_clause_1,article_32,32,1,b,Phạt tiền;,condition_or_rule,phat tien
article_32_clause_1_point_c,article_32_clause_1,article_32,32,1,c,Cải tạo không giam giữ;,condition_or_rule,cai tao khong giam giu
article_32_clause_1_point_d,article_32_clause_1,article_32,32,1,d,Trục xuất;,condition_or_rule,truc xuat
article_32_clause_1_point_d,article_32_clause_1,article_32,32,1,đ,Tù có thời hạn;,condition_or_rule,tu co thoi han
article_32_clause_1_point_e,article_32_clause_1,article_32,32,1,e,Tù chung thân;,condition_or_rule,tu chung than
article_32_clause_1_point_g,article_32_clause_1,article_32,32,1,g,Tử hình.,condition_or_rule,tu hinh
article_32_clause_2_point_a,article_32_clause_2,article_32,32,2,a,"Cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định;",condition_or_rule,cam dam nhiem chuc vu cam hanh nghe hoac lam cong viec nhat dinh
article_32_clause_2_point_b,article_32_clause_2,article_32,32,2,b,Cấm cư trú;,condition_or_rule,cam cu tru
article_32_clause_2_point_c,article_32_clause_2,article_32,32,2,c,Quản chế;,condition_or_rule,quan che
article_32_clause_2_point_d,article_32_clause_2,article_32,32,2,d,Tước một số quyền công dân;,condition_or_rule,tuoc mot so quyen cong dan
article_32_clause_2_point_d,article_32_clause_2,article_32,32,2,đ,Tịch thu tài sản;,condition_or_rule,tich thu tai san
article_32_clause_2_point_e,article_32_clause_2,article_32,32,2,e,"Phạt tiền, khi không áp dụng là hình phạt chính;",exception_or_exemption,phat tien khi khong ap dung la hinh phat chinh
article_32_clause_2_point_g,article_32_clause_2,article_32,32,2,g,"Trục xuất, khi không áp dụng là hình phạt chính.",exception_or_exemption,truc xuat khi khong ap dung la hinh phat chinh
article_33_clause_1_point_a,article_33_clause_1,article_33,33,1,a,Phạt tiền;,condition_or_rule,phat tien
article_33_clause_1_point_b,article_33_clause_1,article_33,33,1,b,Đình chỉ hoạt động có thời hạn;,condition_or_rule,dinh chi hoat dong co thoi han
article_33_clause_1_point_c,article_33_clause_1,article_33,33,1,c,Đình chỉ hoạt động vĩnh viễn.,condition_or_rule,dinh chi hoat dong vinh vien
article_33_clause_2_point_a,article_33_clause_2,article_33,33,2,a,"Cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định;",condition_or_rule,cam kinh doanh cam hoat dong trong mot so linh vuc nhat dinh
article_33_clause_2_point_b,article_33_clause_2,article_33,33,2,b,Cấm huy động vốn;,condition_or_rule,cam huy dong von
article_33_clause_2_point_c,article_33_clause_2,article_33,33,2,c,"Phạt tiền, khi không áp dụng là hình phạt chính.",exception_or_exemption,phat tien khi khong ap dung la hinh phat chinh
article_35_clause_1_point_a,article_35_clause_1,article_35,35,1,a,"Người phạm tội ít nghiêm trọng, phạm tội nghiêm trọng do Bộ luật này quy định;",condition_or_rule,nguoi pham toi it nghiem trong pham toi nghiem trong do bo luat nay quy dinh
article_35_clause_1_point_b,article_35_clause_1,article_35,35,1,b,"Người phạm tội rất nghiêm trọng xâm phạm trật tự quản lý kinh tế, môi trường, trật tự công cộng, an toàn công cộng và một số tội phạm khác do Bộ luật này quy định.",condition_or_rule,nguoi pham toi rat nghiem trong xam pham trat tu quan ly kinh te moi truong trat tu cong cong an toan cong cong va mot so toi pham khac do bo luat nay quy dinh
article_40_clause_3_point_a,article_40_clause_3,article_40,40,3,a,Phụ nữ có thai hoặc phụ nữ đang nuôi con dưới 36 tháng tuổi;,condition_or_rule,phu nu co thai hoac phu nu dang nuoi con duoi 36 thang tuoi
article_40_clause_3_point_b,article_40_clause_3,article_40,40,3,b,Người đủ 75 tuổi trở lên;,condition_or_rule,nguoi du 75 tuoi tro len
article_40_clause_3_point_c,article_40_clause_3,article_40,40,3,c,Người mắc bệnh ung thư giai đoạn cuối.,condition_or_rule,nguoi mac benh ung thu giai doan cuoi
article_44_clause_1_point_a,article_44_clause_1,article_44,44,1,a,Quyền ứng cử đại biểu cơ quan quyền lực Nhà nước;,condition_or_rule,quyen ung cu dai bieu co quan quyen luc nha nuoc
article_44_clause_1_point_b,article_44_clause_1,article_44,44,1,b,Quyền làm việc trong các cơ quan nhà nước và quyền phục vụ trong lực lượng vũ trang nhân dân.,condition_or_rule,quyen lam viec trong cac co quan nha nuoc va quyen phuc vu trong luc luong vu trang nhan dan
article_46_clause_1_point_a,article_46_clause_1,article_46,46,1,a,"Tịch thu vật, tiền trực tiếp liên quan đến tội phạm;",condition_or_rule,tich thu vat tien truc tiep lien quan den toi pham
article_46_clause_1_point_b,article_46_clause_1,article_46,46,1,b,"Trả lại tài sản, sửa chữa hoặc bồi thường thiệt hại; buộc công khai xin lỗi;",condition_or_rule,tra lai tai san sua chua hoac boi thuong thiet hai buoc cong khai xin loi
article_46_clause_1_point_c,article_46_clause_1,article_46,46,1,c,Bắt buộc chữa bệnh.,condition_or_rule,bat buoc chua benh
article_46_clause_2_point_a,article_46_clause_2,article_46,46,2,a,"Tịch thu vật, tiền trực tiếp liên quan đến tội phạm;",condition_or_rule,tich thu vat tien truc tiep lien quan den toi pham
article_46_clause_2_point_b,article_46_clause_2,article_46,46,2,b,"Trả lại tài sản, sửa chữa hoặc bồi thường thiệt hại; buộc công khai xin lỗi;",condition_or_rule,tra lai tai san sua chua hoac boi thuong thiet hai buoc cong khai xin loi
article_46_clause_2_point_c,article_46_clause_2,article_46,46,2,c,Khôi phục lại tình trạng ban đầu;,condition_or_rule,khoi phuc lai tinh trang ban dau
article_46_clause_2_point_d,article_46_clause_2,article_46,46,2,d,"Thực hiện một số biện pháp nhằm khắc phục, ngăn chặn hậu quả tiếp tục xảy ra.",condition_or_rule,thuc hien mot so bien phap nham khac phuc ngan chan hau qua tiep tuc xay ra
article_47_clause_1_point_a,article_47_clause_1,article_47,47,1,a,"Công cụ, phương tiện dùng vào việc phạm tội;",condition_or_rule,cong cu phuong tien dung vao viec pham toi
article_47_clause_1_point_b,article_47_clause_1,article_47,47,1,b,"Vật hoặc tiền do phạm tội hoặc do mua bán, đổi chác những thứ ấy mà có; khoản thu lợi bất chính từ việc phạm tội;",condition_or_rule,vat hoac tien do pham toi hoac do mua ban doi chac nhung thu ay ma co khoan thu loi bat chinh tu viec pham toi
article_47_clause_1_point_c,article_47_clause_1,article_47,47,1,c,"Vật thuộc loại Nhà nước cấm tàng trữ, cấm lưu hành.",condition_or_rule,vat thuoc loai nha nuoc cam tang tru cam luu hanh
article_51_clause_1_point_a,article_51_clause_1,article_51,51,1,a,Người phạm tội đã ngăn chặn hoặc làm giảm bớt tác hại của tội phạm;,condition_or_rule,nguoi pham toi da ngan chan hoac lam giam bot tac hai cua toi pham
article_51_clause_1_point_b,article_51_clause_1,article_51,51,1,b,"Người phạm tội tự nguyện sửa chữa, bồi thường thiệt hại hoặc khắc phục hậu quả;",condition_or_rule,nguoi pham toi tu nguyen sua chua boi thuong thiet hai hoac khac phuc hau qua
article_51_clause_1_point_c,article_51_clause_1,article_51,51,1,c,Phạm tội trong trường hợp vượt quá giới hạn phòng vệ chính đáng;,condition_or_rule,pham toi trong truong hop vuot qua gioi han phong ve chinh dang
article_51_clause_1_point_d,article_51_clause_1,article_51,51,1,d,Phạm tội trong trường hợp vượt quá yêu cầu của tình thế cấp thiết;,condition_or_rule,pham toi trong truong hop vuot qua yeu cau cua tinh the cap thiet
article_51_clause_1_point_d,article_51_clause_1,article_51,51,1,đ,Phạm tội trong trường hợp vượt quá mức cần thiết khi bắt giữ người phạm tội;,condition_or_rule,pham toi trong truong hop vuot qua muc can thiet khi bat giu nguoi pham toi
article_51_clause_1_point_e,article_51_clause_1,article_51,51,1,e,Phạm tội trong trường hợp bị kích động về tinh thần do hành vi trái pháp luật của nạn nhân gây ra;,condition_or_rule,pham toi trong truong hop bi kich dong ve tinh than do hanh vi trai phap luat cua nan nhan gay ra
article_51_clause_1_point_g,article_51_clause_1,article_51,51,1,g,Phạm tội vì hoàn cảnh đặc biệt khó khăn mà không phải do mình tự gây ra;,condition_or_rule,pham toi vi hoan canh dac biet kho khan ma khong phai do minh tu gay ra
article_51_clause_1_point_h,article_51_clause_1,article_51,51,1,h,Phạm tội nhưng chưa gây thiệt hại hoặc gây thiệt hại không lớn;,condition_or_rule,pham toi nhung chua gay thiet hai hoac gay thiet hai khong lon
article_51_clause_1_point_i,article_51_clause_1,article_51,51,1,i,Phạm tội lần đầu và thuộc trường hợp ít nghiêm trọng;,condition_or_rule,pham toi lan dau va thuoc truong hop it nghiem trong
article_51_clause_1_point_k,article_51_clause_1,article_51,51,1,k,Phạm tội vì bị người khác đe dọa hoặc cưỡng bức;,condition_or_rule,pham toi vi bi nguoi khac de doa hoac cuong buc
article_51_clause_1_point_l,article_51_clause_1,article_51,51,1,l,Phạm tội trong trường hợp bị hạn chế khả năng nhận thức mà không phải do lỗi của mình gây ra;,condition_or_rule,pham toi trong truong hop bi han che kha nang nhan thuc ma khong phai do loi cua minh gay ra
article_51_clause_1_point_m,article_51_clause_1,article_51,51,1,m,Phạm tội do lạc hậu;,condition_or_rule,pham toi do lac hau
article_51_clause_1_point_n,article_51_clause_1,article_51,51,1,n,Người phạm tội là phụ nữ có thai;,definition_or_list,nguoi pham toi la phu nu co thai
article_51_clause_1_point_o,article_51_clause_1,article_51,51,1,o,Người phạm tội là người đủ 70 tuổi trở lên;,definition_or_list,nguoi pham toi la nguoi du 70 tuoi tro len
article_51_clause_1_point_p,article_51_clause_1,article_51,51,1,p,Người phạm tội là người khuyết tật nặng hoặc khuyết tật đặc biệt nặng;,definition_or_list,nguoi pham toi la nguoi khuyet tat nang hoac khuyet tat dac biet nang
article_51_clause_1_point_q,article_51_clause_1,article_51,51,1,q,Người phạm tội là người có bệnh bị hạn chế khả năng nhận thức hoặc khả năng điều khiển hành vi của mình;,definition_or_list,nguoi pham toi la nguoi co benh bi han che kha nang nhan thuc hoac kha nang dieu khien hanh vi cua minh
article_51_clause_1_point_r,article_51_clause_1,article_51,51,1,r,Người phạm tội tự thú;,condition_or_rule,nguoi pham toi tu thu
article_51_clause_1_point_s,article_51_clause_1,article_51,51,1,s,"Người phạm tội thành khẩn khai báo, ăn năn hối cải;",condition_or_rule,nguoi pham toi thanh khan khai bao an nan hoi cai
article_51_clause_1_point_t,article_51_clause_1,article_51,51,1,t,Người phạm tội tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án;,condition_or_rule,nguoi pham toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an
article_51_clause_1_point_u,article_51_clause_1,article_51,51,1,u,Người phạm tội đã lập công chuộc tội;,condition_or_rule,nguoi pham toi da lap cong chuoc toi
article_51_clause_1_point_v,article_51_clause_1,article_51,51,1,v,"Người phạm tội là người có thành tích xuất sắc trong sản xuất, chiến đấu, học tập hoặc công tác;",definition_or_list,nguoi pham toi la nguoi co thanh tich xuat sac trong san xuat chien dau hoc tap hoac cong tac
article_51_clause_1_point_x,article_51_clause_1,article_51,51,1,x,"Người phạm tội là người có công với cách mạng hoặc là cha, mẹ, vợ, chồng, con của liệt sĩ.",definition_or_list,nguoi pham toi la nguoi co cong voi cach mang hoac la cha me vo chong con cua liet si
article_52_clause_1_point_a,article_52_clause_1,article_52,52,1,a,Phạm tội có tổ chức;,condition_or_rule,pham toi co to chuc
article_52_clause_1_point_b,article_52_clause_1,article_52,52,1,b,Phạm tội có tính chất chuyên nghiệp;,condition_or_rule,pham toi co tinh chat chuyen nghiep
article_52_clause_1_point_c,article_52_clause_1,article_52,52,1,c,"Lợi dụng chức vụ, quyền hạn để phạm tội;",condition_or_rule,loi dung chuc vu quyen han de pham toi
article_52_clause_1_point_d,article_52_clause_1,article_52,52,1,d,Phạm tội có tính chất côn đồ;,condition_or_rule,pham toi co tinh chat con do
article_52_clause_1_point_d,article_52_clause_1,article_52,52,1,đ,Phạm tội vì động cơ đê hèn;,condition_or_rule,pham toi vi dong co de hen
article_52_clause_1_point_e,article_52_clause_1,article_52,52,1,e,Cố tình thực hiện tội phạm đến cùng;,condition_or_rule,co tinh thuc hien toi pham den cung
article_52_clause_1_point_g,article_52_clause_1,article_52,52,1,g,Phạm tội 02 lần trở lên;,condition_or_rule,pham toi 02 lan tro len
article_52_clause_1_point_h,article_52_clause_1,article_52,52,1,h,Tái phạm hoặc tái phạm nguy hiểm;,condition_or_rule,tai pham hoac tai pham nguy hiem
article_52_clause_1_point_i,article_52_clause_1,article_52,52,1,i,"Phạm tội đối với người dưới 16 tuổi, phụ nữ có thai hoặc người đủ 70 tuổi trở lên;",condition_or_rule,pham toi doi voi nguoi duoi 16 tuoi phu nu co thai hoac nguoi du 70 tuoi tro len
article_52_clause_1_point_k,article_52_clause_1,article_52,52,1,k,"Phạm tội đối với người ở trong tình trạng không thể tự vệ được, người khuyết tật nặng hoặc khuyết tật đặc biệt nặng, người bị hạn chế khả năng nhận thức hoặc người lệ thuộc mình về mặt vật chất, tinh thần, công tác hoặc các mặt khác;",condition_or_rule,pham toi doi voi nguoi o trong tinh trang khong the tu ve duoc nguoi khuyet tat nang hoac khuyet tat dac biet nang nguoi bi han che kha nang nhan thuc hoac nguoi le thuoc minh ve mat vat chat tinh than cong tac hoac cac mat khac
article_52_clause_1_point_l,article_52_clause_1,article_52,52,1,l,"Lợi dụng hoàn cảnh chiến tranh, tình trạng khẩn cấp, thiên tai, dịch bệnh hoặc những khó khăn đặc biệt khác của xã hội để phạm tội;",condition_or_rule,loi dung hoan canh chien tranh tinh trang khan cap thien tai dich benh hoac nhung kho khan dac biet khac cua xa hoi de pham toi
article_52_clause_1_point_m,article_52_clause_1,article_52,52,1,m,"Dùng thủ đoạn tinh vi, xảo quyệt hoặc tàn ác để phạm tội;",condition_or_rule,dung thu doan tinh vi xao quyet hoac tan ac de pham toi
article_52_clause_1_point_n,article_52_clause_1,article_52,52,1,n,Dùng thủ đoạn hoặc phương tiện có khả năng gây nguy hại cho nhiều người để phạm tội;,condition_or_rule,dung thu doan hoac phuong tien co kha nang gay nguy hai cho nhieu nguoi de pham toi
article_52_clause_1_point_o,article_52_clause_1,article_52,52,1,o,Xúi giục người dưới 18 tuổi phạm tội;,condition_or_rule,xui giuc nguoi duoi 18 tuoi pham toi
article_52_clause_1_point_p,article_52_clause_1,article_52,52,1,p,Có hành động xảo quyệt hoặc hung hãn nhằm trốn tránh hoặc che giấu tội phạm.,condition_or_rule,co hanh dong xao quyet hoac hung han nham tron tranh hoac che giau toi pham
article_53_clause_2_point_a,article_53_clause_2,article_53,53,2,a,"Đã bị kết án về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý;",condition_or_rule,da bi ket an ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y chua duoc xoa an tich ma lai thuc hien hanh vi pham toi ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y
article_53_clause_2_point_b,article_53_clause_2,article_53,53,2,b,"Đã tái phạm, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý.",condition_or_rule,da tai pham chua duoc xoa an tich ma lai thuc hien hanh vi pham toi do co y
article_55_clause_1_point_a,article_55_clause_1,article_55,55,1,a,"Nếu các hình phạt đã tuyên cùng là cải tạo không giam giữ hoặc cùng là tù có thời hạn, thì các hình phạt đó được cộng lại thành hình phạt chung; hình phạt chung không được vượt quá 03 năm đối với hình phạt cải tạo không giam giữ, 30 năm đối với hình phạt tù có thời hạn;",definition_or_list,neu cac hinh phat da tuyen cung la cai tao khong giam giu hoac cung la tu co thoi han thi cac hinh phat do duoc cong lai thanh hinh phat chung hinh phat chung khong duoc vuot qua 03 nam doi voi hinh phat cai tao khong giam giu 30 nam doi voi hinh phat tu co thoi han
article_55_clause_1_point_b,article_55_clause_1,article_55,55,1,b,"Nếu các hình phạt đã tuyên là cải tạo không giam giữ, tù có thời hạn, thì hình phạt cải tạo không giam giữ được chuyển đổi thành hình phạt tù theo tỷ lệ cứ 03 ngày cải tạo không giam giữ được chuyển đổi thành 01 ngày tù để tổng hợp thành hình phạt chung theo quy định tại điểm a khoản 1 Điều này;",definition_or_list,neu cac hinh phat da tuyen la cai tao khong giam giu tu co thoi han thi hinh phat cai tao khong giam giu duoc chuyen doi thanh hinh phat tu theo ty le cu 03 ngay cai tao khong giam giu duoc chuyen doi thanh 01 ngay tu de tong hop thanh hinh phat chung theo quy dinh tai diem a khoan 1 dieu nay
article_55_clause_1_point_c,article_55_clause_1,article_55,55,1,c,Nếu hình phạt nặng nhất trong số các hình phạt đã tuyên là tù chung thân thì hình phạt chung là tù chung thân;,definition_or_list,neu hinh phat nang nhat trong so cac hinh phat da tuyen la tu chung than thi hinh phat chung la tu chung than
article_55_clause_1_point_d,article_55_clause_1,article_55,55,1,d,Nếu hình phạt nặng nhất trong số các hình phạt đã tuyên là tử hình thì hình phạt chung là tử hình;,definition_or_list,neu hinh phat nang nhat trong so cac hinh phat da tuyen la tu hinh thi hinh phat chung la tu hinh
article_55_clause_1_point_d,article_55_clause_1,article_55,55,1,đ,Phạt tiền không tổng hợp với các loại hình phạt khác; các khoản tiền phạt được cộng lại thành hình phạt chung;,condition_or_rule,phat tien khong tong hop voi cac loai hinh phat khac cac khoan tien phat duoc cong lai thanh hinh phat chung
article_55_clause_1_point_e,article_55_clause_1,article_55,55,1,e,Trục xuất không tổng hợp với các loại hình phạt khác;,condition_or_rule,truc xuat khong tong hop voi cac loai hinh phat khac
