id,article_id,article_code,name,crime_group,chapter_id,status,normalized_name
crime_122,article_122,122,Hình phạt bổ sung,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,hinh phat bo sung
crime_123,article_123,123,Tội giết người,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi giet nguoi
crime_124,article_124,124,Tội giết hoặc vứt bỏ con mới đẻ,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi giet hoac vut bo con moi de
crime_125,article_125,125,Tội giết người trong trạng thái tinh thần bị kích động mạnh,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi giet nguoi trong trang thai tinh than bi kich dong manh
crime_126,article_126,126,Tội giết người do vượt quá giới hạn phòng vệ chính đáng hoặc do vượt quá mức cần thiết khi bắt giữ người phạm tội,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi giet nguoi do vuot qua gioi han phong ve chinh dang hoac do vuot qua muc can thiet khi bat giu nguoi pham toi
crime_127,article_127,127,Tội làm chết người trong khi thi hành công vụ,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi lam chet nguoi trong khi thi hanh cong vu
crime_128,article_128,128,Tội vô ý làm chết người,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi vo y lam chet nguoi
crime_129,article_129,129,Tội vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi vo y lam chet nguoi do vi pham quy tac nghe nghiep hoac quy tac hanh chinh
crime_130,article_130,130,Tội bức tử,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi buc tu
crime_131,article_131,131,Tội xúi giục hoặc giúp người khác tự sát,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi xui giuc hoac giup nguoi khac tu sat
crime_132,article_132,132,Tội không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi khong cuu giup nguoi dang o trong tinh trang nguy hiem den tinh mang
crime_133,article_133,133,Tội đe dọa giết người,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi de doa giet nguoi
crime_134,article_134,134,Tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi co y gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac
crime_135,article_135,135,Tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác trong trạng thái tinh thần bị kích động mạnh,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi co y gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac trong trang thai tinh than bi kich dong manh
crime_136,article_136,136,Tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác do vượt quá giới hạn phòng vệ chính đáng hoặc do vượt quá mức cần thiết khi bắt giữ người phạm tội,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi co y gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac do vuot qua gioi han phong ve chinh dang hoac do vuot qua muc can thiet khi bat giu nguoi pham toi
crime_137,article_137,137,Tội gây thương tích hoặc gây tổn hại cho sức khỏe của người khác trong khi thi hành công vụ,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac trong khi thi hanh cong vu
crime_138,article_138,138,Tội vô ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi vo y gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac
crime_139,article_139,139,Tội vô ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi vo y gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac do vi pham quy tac nghe nghiep hoac quy tac hanh chinh
crime_140,article_140,140,Tội hành hạ người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi hanh ha nguoi khac
crime_141,article_141,141,Tội hiếp dâm,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi hiep dam
crime_142,article_142,142,Tội hiếp dâm người dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi hiep dam nguoi duoi 16 tuoi
crime_143,article_143,143,Tội cưỡng dâm,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi cuong dam
crime_144,article_144,144,Tội cưỡng dâm người từ đủ 13 tuổi đến dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi cuong dam nguoi tu du 13 tuoi den duoi 16 tuoi
crime_145,article_145,145,Tội giao cấu hoặc thực hiện hành vi quan hệ tình dục khác với người từ đủ 13 tuổi đến dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi giao cau hoac thuc hien hanh vi quan he tinh duc khac voi nguoi tu du 13 tuoi den duoi 16 tuoi
crime_146,article_146,146,Tội dâm ô đối với người dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi dam o doi voi nguoi duoi 16 tuoi
crime_147,article_147,147,Tội sử dụng người dưới 16 tuổi vào mục đích khiêu dâm,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi su dung nguoi duoi 16 tuoi vao muc dich khieu dam
crime_148,article_148,148,Tội lây truyền HIV cho người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi lay truyen hiv cho nguoi khac
crime_149,article_149,149,Tội cố ý truyền HIV cho người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi co y truyen hiv cho nguoi khac
crime_150,article_150,150,Tội mua bán người,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi mua ban nguoi
crime_151,article_151,151,Tội mua bán người dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi mua ban nguoi duoi 16 tuoi
crime_152,article_152,152,Tội đánh tráo người dưới 01 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi danh trao nguoi duoi 01 tuoi
crime_153,article_153,153,Tội chiếm đoạt người dưới 16 tuổi,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi chiem doat nguoi duoi 16 tuoi
crime_154,article_154,154,"Tội mua bán, chiếm đoạt mô hoặc bộ phận cơ thể người","CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi mua ban chiem doat mo hoac bo phan co the nguoi
crime_155,article_155,155,Tội làm nhục người khác,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi lam nhuc nguoi khac
crime_156,article_156,156,Tội vu khống,"CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM, DANH DỰ CỦA CON NGƯỜI",chapter_hai_xiv,active,toi vu khong
crime_157,article_157,157,"Tội bắt, giữ hoặc giam người trái pháp luật","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi bat giu hoac giam nguoi trai phap luat
crime_158,article_158,158,Tội xâm phạm chỗ ở của người khác,"CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham cho o cua nguoi khac
crime_159,article_159,159,"Tội xâm phạm bí mật hoặc an toàn thư tín, điện thoại, điện tín hoặc hình thức trao đổi thông tin riêng tư khác của người khác","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham bi mat hoac an toan thu tin dien thoai dien tin hoac hinh thuc trao doi thong tin rieng tu khac cua nguoi khac
crime_160,article_160,160,"Tội xâm phạm quyền của công dân về bầu cử, ứng cử hoặc biểu quyết khi Nhà nước trưng cầu ý dân","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen cua cong dan ve bau cu ung cu hoac bieu quyet khi nha nuoc trung cau y dan
crime_161,article_161,161,"Tội làm sai lệch kết quả bầu cử, kết quả trưng cầu ý dân","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi lam sai lech ket qua bau cu ket qua trung cau y dan
crime_162,article_162,162,"Tội buộc công chức, viên chức thôi việc hoặc sa thải người lao động trái pháp luật","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi buoc cong chuc vien chuc thoi viec hoac sa thai nguoi lao dong trai phap luat
crime_163,article_163,163,"Tội xâm phạm quyền hội họp, lập hội của công dân","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen hoi hop lap hoi cua cong dan
crime_164,article_164,164,"Tội xâm phạm quyền tự do tín ngưỡng, tôn giáo của người khác","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen tu do tin nguong ton giao cua nguoi khac
crime_165,article_165,165,Tội xâm phạm quyền bình đẳng giới,"CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen binh dang gioi
crime_166,article_166,166,"Tội xâm phạm quyền khiếu nại, tố cáo","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen khieu nai to cao
crime_167,article_167,167,"Tội xâm phạm quyền tự do ngôn luận, tự do báo chí, tiếp cận thông tin, quyền biểu tình của công dân","CÁC TỘI XÂM PHẠM QUYỀN TỰ DO CỦA CON NGƯỜI, QUYỀN TỰ DO, DÂN CHỦ CỦA CÔNG DÂN",chapter_hai_xv,active,toi xam pham quyen tu do ngon luan tu do bao chi tiep can thong tin quyen bieu tinh cua cong dan
crime_168,article_168,168,Tội cướp tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi cuop tai san
crime_169,article_169,169,Tội bắt cóc nhằm chiếm đoạt tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi bat coc nham chiem doat tai san
crime_170,article_170,170,Tội cưỡng đoạt tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi cuong doat tai san
crime_171,article_171,171,Tội cướp giật tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi cuop giat tai san
crime_172,article_172,172,Tội công nhiên chiếm đoạt tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi cong nhien chiem doat tai san
crime_173,article_173,173,Tội trộm cắp tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi trom cap tai san
crime_174,article_174,174,Tội lừa đảo chiếm đoạt tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi lua dao chiem doat tai san
crime_175,article_175,175,Tội lạm dụng tín nhiệm chiếm đoạt tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi lam dung tin nhiem chiem doat tai san
crime_176,article_176,176,Tội chiếm giữ trái phép tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi chiem giu trai phep tai san
crime_177,article_177,177,Tội sử dụng trái phép tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi su dung trai phep tai san
crime_178,article_178,178,Tội hủy hoại hoặc cố ý làm hư hỏng tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi huy hoai hoac co y lam hu hong tai san
crime_179,article_179,179,"Tội thiếu trách nhiệm gây thiệt hại đến tài sản của Nhà nước, cơ quan, tổ chức, doanh nghiệp",CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi thieu trach nhiem gay thiet hai den tai san cua nha nuoc co quan to chuc doanh nghiep
crime_180,article_180,180,Tội vô ý gây thiệt hại nghiêm trọng đến tài sản,CÁC TỘI XÂM PHẠM SỞ HỮU,chapter_hai_xvi,active,toi vo y gay thiet hai nghiem trong den tai san
crime_181,article_181,181,"Tội cưỡng ép kết hôn, ly hôn hoặc cản trở hôn nhân tự nguyện, tiến bộ, cản trở ly hôn tự nguyện",CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi cuong ep ket hon ly hon hoac can tro hon nhan tu nguyen tien bo can tro ly hon tu nguyen
crime_182,article_182,182,"Tội vi phạm chế độ một vợ, một chồng",CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi vi pham che do mot vo mot chong
crime_183,article_183,183,Tội tổ chức tảo hôn,CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi to chuc tao hon
crime_184,article_184,184,Tội loạn luân,CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi loan luan
crime_185,article_185,185,"Tội ngược đãi hoặc hành hạ ông bà, cha mẹ, vợ chồng, con, cháu hoặc người có công nuôi dưỡng mình",CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi nguoc dai hoac hanh ha ong ba cha me vo chong con chau hoac nguoi co cong nuoi duong minh
crime_186,article_186,186,Tội từ chối hoặc trốn tránh nghĩa vụ cấp dưỡng,CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi tu choi hoac tron tranh nghia vu cap duong
crime_187,article_187,187,Tội tổ chức mang thai hộ vì mục đích thương mại,CÁC TỘI XÂM PHẠM CHẾ ĐỘ HÔN NHÂN VÀ GIA ĐÌNH,chapter_hai_xvii,active,toi to chuc mang thai ho vi muc dich thuong mai
crime_188,article_188,188,Tội buôn lậu,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi buon lau
crime_189,article_189,189,"Tội vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi van chuyen trai phep hang hoa tien te qua bien gioi
crime_190,article_190,190,"Tội sản xuất, buôn bán hàng cấm",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi san xuat buon ban hang cam
crime_191,article_191,191,"Tội tàng trữ, vận chuyển hàng cấm",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi tang tru van chuyen hang cam
crime_192,article_192,192,"Tội sản xuất, buôn bán hàng giả",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi san xuat buon ban hang gia
crime_193,article_193,193,"Tội sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi san xuat buon ban hang gia la luong thuc thuc pham phu gia thuc pham
crime_194,article_194,194,"Tội sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi san xuat buon ban hang gia la thuoc chua benh thuoc phong benh
crime_195,article_195,195,"Tội sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi san xuat buon ban hang gia la thuc an dung de chan nuoi phan bon thuoc thu y thuoc bao ve thuc vat giong cay trong giong vat nuoi
crime_196,article_196,196,Tội đầu cơ,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi dau co
crime_197,article_197,197,Tội quảng cáo gian dối,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi quang cao gian doi
crime_198,article_198,198,Tội lừa dối khách hàng,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi lua doi khach hang
crime_199,article_199,199,Tội vi phạm quy định về cung ứng điện,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi vi pham quy dinh ve cung ung dien
crime_200,article_200,200,Tội trốn thuế,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi tron thue
crime_201,article_201,201,Tội cho vay lãi nặng trong giao dịch dân sự,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi cho vay lai nang trong giao dich dan su
crime_202,article_202,202,"Tội làm, buôn bán tem giả, vé giả",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi lam buon ban tem gia ve gia
crime_203,article_203,203,"Tội in, phát hành, mua bán trái phép hóa đơn, chứng từ thu nộp ngân sách nhà nước",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi in phat hanh mua ban trai phep hoa don chung tu thu nop ngan sach nha nuoc
crime_204,article_204,204,"Tội vi phạm quy định về bảo quản, quản lý hóa đơn, chứng từ thu nộp ngân sách nhà nước",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi vi pham quy dinh ve bao quan quan ly hoa don chung tu thu nop ngan sach nha nuoc
crime_205,article_205,205,Tội lập quỹ trái phép,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi lap quy trai phep
crime_206,article_206,206,"Tội vi phạm quy định về hoạt động ngân hàng, hoạt động khác liên quan đến hoạt động ngân hàng",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi vi pham quy dinh ve hoat dong ngan hang hoat dong khac lien quan den hoat dong ngan hang
crime_207,article_207,207,"Tội làm, tàng trữ, vận chuyển, lưu hành tiền giả",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi lam tang tru van chuyen luu hanh tien gia
crime_208,article_208,208,"Tội làm, tàng trữ, vận chuyển, lưu hành công cụ chuyển nhượng giả hoặc các giấy tờ có giá giả khác",CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi lam tang tru van chuyen luu hanh cong cu chuyen nhuong gia hoac cac giay to co gia gia khac
crime_209,article_209,209,Tội cố ý công bố thông tin sai lệch hoặc che giấu thông tin trong hoạt động chứng khoán,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi co y cong bo thong tin sai lech hoac che giau thong tin trong hoat dong chung khoan
crime_210,article_210,210,Tội sử dụng thông tin nội bộ để mua bán chứng khoán,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi su dung thong tin noi bo de mua ban chung khoan
crime_211,article_211,211,Tội thao túng thị trường chứng khoán,CÁC TỘI XÂM PHẠM TRẬT TỰ QUẢN LÝ KINH TẾ,chapter_hai_xviii,active,toi thao tung thi truong chung khoan
