id,article_id,owner_id,owner_kind,article_code,clause_no,point,text,rule_type,priority,normalized_text
rule_article_6_clause_1,article_6,article_6_clause_1,Clause,6,1,,"Công dân Việt Nam hoặc pháp nhân thương mại Việt Nam có hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam mà Bộ luật này quy định là tội phạm, thì có thể bị truy cứu trách nhiệm hình sự tại Việt Nam theo quy định của Bộ luật này. Quy định này cũng được áp dụng đối với người không quốc tịch thường trú ở Việt Nam.",condition_or_rule,1,cong dan viet nam hoac phap nhan thuong mai viet nam co hanh vi pham toi o ngoai lanh tho nuoc cong hoa xa hoi chu nghia viet nam ma bo luat nay quy dinh la toi pham thi co the bi truy cuu trach nhiem hinh su tai viet nam theo quy dinh cua bo luat nay quy dinh nay cung duoc ap dung doi voi nguoi khong quoc tich thuong tru o viet nam
rule_article_6_clause_2,article_6,article_6_clause_2,Clause,6,2,,"Người nước ngoài, pháp nhân thương mại nước ngoài phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp hành vi phạm tội xâm hại quyền, lợi ích hợp pháp của công dân Việt Nam hoặc xâm hại lợi ích của nước Cộng hòa xã hội chủ nghĩa Việt Nam hoặc theo quy định của điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.",condition_or_rule,2,nguoi nuoc ngoai phap nhan thuong mai nuoc ngoai pham toi o ngoai lanh tho nuoc cong hoa xa hoi chu nghia viet nam co the bi truy cuu trach nhiem hinh su theo quy dinh cua bo luat nay trong truong hop hanh vi pham toi xam hai quyen loi ich hop phap cua cong dan viet nam hoac xam hai loi ich cua nuoc cong hoa xa hoi chu nghia viet nam hoac theo quy dinh cua dieu uoc quoc te ma cong hoa xa hoi chu nghia viet nam la thanh vien
rule_article_6_clause_3,article_6,article_6_clause_3,Clause,6,3,,"Đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển không mang quốc tịch Việt Nam đang ở tại biển cả hoặc tại giới hạn vùng trời nằm ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì người phạm tội có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định.",condition_or_rule,3,doi voi hanh vi pham toi hoac hau qua cua hanh vi pham toi xay ra tren tau bay tau bien khong mang quoc tich viet nam dang o tai bien ca hoac tai gioi han vung troi nam ngoai lanh tho nuoc cong hoa xa hoi chu nghia viet nam thi nguoi pham toi co the bi truy cuu trach nhiem hinh su theo quy dinh cua bo luat nay trong truong hop dieu uoc quoc te ma cong hoa xa hoi chu nghia viet nam la thanh vien co quy dinh
rule_article_7_clause_1,article_7,article_7_clause_1,Clause,7,1,,Điều luật được áp dụng đối với một hành vi phạm tội là điều luật đang có hiệu lực thi hành tại thời điểm mà hành vi phạm tội được thực hiện.,definition_or_list,1,dieu luat duoc ap dung doi voi mot hanh vi pham toi la dieu luat dang co hieu luc thi hanh tai thoi diem ma hanh vi pham toi duoc thuc hien
rule_article_7_clause_2,article_7,article_7_clause_2,Clause,7,2,,"Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",condition_or_rule,2,dieu luat quy dinh mot toi pham moi mot hinh phat nang hon mot tinh tiet tang nang moi hoac han che pham vi ap dung an treo mien trach nhiem hinh su loai tru trach nhiem hinh su mien hinh phat giam hinh phat xoa an tich va quy dinh khac khong co loi cho nguoi pham toi thi khong duoc ap dung doi voi hanh vi pham toi da thuc hien truoc khi dieu luat do co hieu luc thi hanh
rule_article_7_clause_3,article_7,article_7_clause_3,Clause,7,3,,"Điều luật xóa bỏ một tội phạm, một hình phạt, một tình tiết tăng nặng, quy định một hình phạt nhẹ hơn, một tình tiết giảm nhẹ mới hoặc mở rộng phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, tha tù trước thời hạn có điều kiện, xóa án tích và quy định khác có lợi cho người phạm tội, thì được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",condition_or_rule,3,dieu luat xoa bo mot toi pham mot hinh phat mot tinh tiet tang nang quy dinh mot hinh phat nhe hon mot tinh tiet giam nhe moi hoac mo rong pham vi ap dung an treo mien trach nhiem hinh su loai tru trach nhiem hinh su mien hinh phat giam hinh phat tha tu truoc thoi han co dieu kien xoa an tich va quy dinh khac co loi cho nguoi pham toi thi duoc ap dung doi voi hanh vi pham toi da thuc hien truoc khi dieu luat do co hieu luc thi hanh
rule_article_8_clause_1,article_8,article_8_clause_1,Clause,8,1,,"Tội phạm là hành vi nguy hiểm cho xã hội được quy định trong Bộ luật hình sự, do người có năng lực trách nhiệm hình sự hoặc pháp nhân thương mại thực hiện một cách cố ý hoặc vô ý, xâm phạm độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ Tổ quốc, xâm phạm chế độ chính trị, chế độ kinh tế, nền văn hóa, quốc phòng, an ninh, trật tự, an toàn xã hội, quyền, lợi ích hợp pháp của tổ chức, xâm phạm quyền con người, quyền, lợi ích hợp pháp của công dân, xâm phạm những lĩnh vực khác của trật tự pháp luật xã hội chủ nghĩa mà theo quy định của Bộ luật này phải bị xử lý hình sự.",definition_or_list,1,toi pham la hanh vi nguy hiem cho xa hoi duoc quy dinh trong bo luat hinh su do nguoi co nang luc trach nhiem hinh su hoac phap nhan thuong mai thuc hien mot cach co y hoac vo y xam pham doc lap chu quyen thong nhat toan ven lanh tho to quoc xam pham che do chinh tri che do kinh te nen van hoa quoc phong an ninh trat tu an toan xa hoi quyen loi ich hop phap cua to chuc xam pham quyen con nguoi quyen loi ich hop phap cua cong dan xam pham nhung linh vuc khac cua trat tu phap luat xa hoi chu nghia ma theo quy dinh cua bo luat nay phai bi xu ly hinh su
rule_article_8_clause_2,article_8,article_8_clause_2,Clause,8,2,,Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì không phải là tội phạm và được xử lý bằng các biện pháp khác.,exception_or_exemption,2,nhung hanh vi tuy co dau hieu cua toi pham nhung tinh chat nguy hiem cho xa hoi khong dang ke thi khong phai la toi pham va duoc xu ly bang cac bien phap khac
rule_article_9_clause_1,article_9,article_9_clause_1,Clause,9,1,,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây: a) Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm; b) Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù; c) Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù; d) Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình.",condition_or_rule,1,can cu vao tinh chat va muc do nguy hiem cho xa hoi cua hanh vi pham toi duoc quy dinh trong bo luat nay toi pham duoc phan thanh 04 loai sau day a toi pham it nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi khong lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la phat tien phat cai tao khong giam giu hoac phat tu den 03 nam b toi pham nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 03 nam tu den 07 nam tu c toi pham rat nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi rat lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 07 nam tu den 15 nam tu d toi pham dac biet nghiem trong la toi pham co tinh chat va muc do nguy hiem cho xa hoi dac biet lon ma muc cao nhat cua khung hinh phat do bo luat nay quy dinh doi voi toi ay la tu tren 15 nam tu den 20 nam tu tu chung than hoac tu hinh
rule_article_9_clause_2,article_9,article_9_clause_2,Clause,9,2,,Tội phạm do pháp nhân thương mại thực hiện được phân loại căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội theo quy định tại khoản 1 Điều này và quy định tương ứng đối với các tội phạm được quy định tại Điều 76 của Bộ luật này.,condition_or_rule,2,toi pham do phap nhan thuong mai thuc hien duoc phan loai can cu vao tinh chat va muc do nguy hiem cho xa hoi cua hanh vi pham toi theo quy dinh tai khoan 1 dieu nay va quy dinh tuong ung doi voi cac toi pham duoc quy dinh tai dieu 76 cua bo luat nay
rule_article_10_clause_1,article_10,article_10_clause_1,Clause,10,1,,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra;",definition_or_list,1,nguoi pham toi nhan thuc ro hanh vi cua minh la nguy hiem cho xa hoi thay truoc hau qua cua hanh vi do va mong muon hau qua xay ra
rule_article_10_clause_2,article_10,article_10_clause_2,Clause,10,2,,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra.",definition_or_list,2,nguoi pham toi nhan thuc ro hanh vi cua minh la nguy hiem cho xa hoi thay truoc hau qua cua hanh vi do co the xay ra tuy khong mong muon nhung van co y thuc de mac cho hau qua xay ra
rule_article_11_clause_1,article_11,article_11_clause_1,Clause,11,1,,Người phạm tội tuy thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội nhưng cho rằng hậu quả đó sẽ không xảy ra hoặc có thể ngăn ngừa được.,condition_or_rule,1,nguoi pham toi tuy thay truoc hanh vi cua minh co the gay ra hau qua nguy hai cho xa hoi nhung cho rang hau qua do se khong xay ra hoac co the ngan ngua duoc
rule_article_11_clause_2,article_11,article_11_clause_2,Clause,11,2,,"Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội, mặc dù phải thấy trước và có thể thấy trước hậu quả đó.",condition_or_rule,2,nguoi pham toi khong thay truoc hanh vi cua minh co the gay ra hau qua nguy hai cho xa hoi mac du phai thay truoc va co the thay truoc hau qua do
rule_article_12_clause_1,article_12,article_12_clause_1,Clause,12,1,,"Người từ đủ 16 tuổi trở lên phải chịu trách nhiệm hình sự về mọi tội phạm, trừ những tội phạm mà Bộ luật này có quy định khác.",condition_or_rule,1,nguoi tu du 16 tuoi tro len phai chiu trach nhiem hinh su ve moi toi pham tru nhung toi pham ma bo luat nay co quy dinh khac
rule_article_12_clause_2,article_12,article_12_clause_2,Clause,12,2,,"Người từ đủ 14 tuổi đến dưới 16 tuổi phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng quy định tại một trong các điều 123, 134, 141, 142, 143, 144, 150, 151, 168, 169, 170, 171, 173, 178, 248, 249, 250, 251, 252, 265, 266, 286, 287, 289, 290, 299, 303 và 304 của Bộ luật này.",condition_or_rule,2,nguoi tu du 14 tuoi den duoi 16 tuoi phai chiu trach nhiem hinh su ve toi pham rat nghiem trong toi pham dac biet nghiem trong quy dinh tai mot trong cac dieu 123 134 141 142 143 144 150 151 168 169 170 171 173 178 248 249 250 251 252 265 266 286 287 289 290 299 303 va 304 cua bo luat nay
rule_article_13_clause_0,article_13,article_13_clause_0,Clause,13,,,"Người phạm tội trong tình trạng mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình do dùng rượu, bia hoặc chất kích thích mạnh khác, thì vẫn phải chịu trách nhiệm hình sự.",body,1,nguoi pham toi trong tinh trang mat kha nang nhan thuc hoac kha nang dieu khien hanh vi cua minh do dung ruou bia hoac chat kich thich manh khac thi van phai chiu trach nhiem hinh su
rule_article_14_clause_1,article_14,article_14_clause_1,Clause,14,1,,"Chuẩn bị phạm tội là tìm kiếm, sửa soạn công cụ, phương tiện hoặc tạo ra những điều kiện khác để thực hiện tội phạm hoặc thành lập, tham gia nhóm tội phạm, trừ trường hợp thành lập hoặc tham gia nhóm tội phạm quy định tại Điều 109, điểm a khoản 2 Điều 113 hoặc điểm a khoản 2 Điều 299 của Bộ luật này.",definition_or_list,1,chuan bi pham toi la tim kiem sua soan cong cu phuong tien hoac tao ra nhung dieu kien khac de thuc hien toi pham hoac thanh lap tham gia nhom toi pham tru truong hop thanh lap hoac tham gia nhom toi pham quy dinh tai dieu 109 diem a khoan 2 dieu 113 hoac diem a khoan 2 dieu 299 cua bo luat nay
rule_article_14_clause_2,article_14,article_14_clause_2,Clause,14,2,,"Người chuẩn bị phạm tội quy định tại một trong các điều 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 123, 134, 168, 169, 207, 299, 300, 301, 302, 303 và 324 của Bộ luật này thì phải chịu trách nhiệm hình sự.",condition_or_rule,2,nguoi chuan bi pham toi quy dinh tai mot trong cac dieu 108 109 110 111 112 113 114 115 116 117 118 119 120 121 123 134 168 169 207 299 300 301 302 303 va 324 cua bo luat nay thi phai chiu trach nhiem hinh su
rule_article_14_clause_3,article_14,article_14_clause_3,Clause,14,3,,"Người từ đủ 14 tuổi đến dưới 16 tuổi chuẩn bị phạm tội quy định tại Điều 123, Điều 168 của Bộ luật này thì phải chịu trách nhiệm hình sự.",condition_or_rule,3,nguoi tu du 14 tuoi den duoi 16 tuoi chuan bi pham toi quy dinh tai dieu 123 dieu 168 cua bo luat nay thi phai chiu trach nhiem hinh su
rule_article_15_clause_0,article_15,article_15_clause_0,Clause,15,,,Phạm tội chưa đạt là cố ý thực hiện tội phạm nhưng không thực hiện được đến cùng vì những nguyên nhân ngoài ý muốn của người phạm tội. Người phạm tội chưa đạt phải chịu trách nhiệm hình sự về tội phạm chưa đạt.,body,1,pham toi chua dat la co y thuc hien toi pham nhung khong thuc hien duoc den cung vi nhung nguyen nhan ngoai y muon cua nguoi pham toi nguoi pham toi chua dat phai chiu trach nhiem hinh su ve toi pham chua dat
rule_article_16_clause_0,article_16,article_16_clause_0,Clause,16,,,"Tự ý nửa chừng chấm dứt việc phạm tội là tự mình không thực hiện tội phạm đến cùng, tuy không có gì ngăn cản. Người tự ý nửa chừng chấm dứt việc phạm tội được miễn trách nhiệm hình sự về tội định phạm; nếu hành vi thực tế đã thực hiện có đủ yếu tố cấu thành của một tội khác, thì người đó phải chịu trách nhiệm hình sự về tội này.",body,1,tu y nua chung cham dut viec pham toi la tu minh khong thuc hien toi pham den cung tuy khong co gi ngan can nguoi tu y nua chung cham dut viec pham toi duoc mien trach nhiem hinh su ve toi dinh pham neu hanh vi thuc te da thuc hien co du yeu to cau thanh cua mot toi khac thi nguoi do phai chiu trach nhiem hinh su ve toi nay
rule_article_17_clause_1,article_17,article_17_clause_1,Clause,17,1,,Đồng phạm là trường hợp có hai người trở lên cố ý cùng thực hiện một tội phạm.,definition_or_list,1,dong pham la truong hop co hai nguoi tro len co y cung thuc hien mot toi pham
rule_article_17_clause_2,article_17,article_17_clause_2,Clause,17,2,,Phạm tội có tổ chức là hình thức đồng phạm có sự câu kết chặt chẽ giữa những người cùng thực hiện tội phạm.,definition_or_list,2,pham toi co to chuc la hinh thuc dong pham co su cau ket chat che giua nhung nguoi cung thuc hien toi pham
rule_article_17_clause_3,article_17,article_17_clause_3,Clause,17,3,,"Người đồng phạm bao gồm người tổ chức, người thực hành, người xúi giục, người giúp sức. Người thực hành là người trực tiếp thực hiện tội phạm. Người tổ chức là người chủ mưu, cầm đầu, chỉ huy việc thực hiện tội phạm. Người xúi giục là người kích động, dụ dỗ, thúc đẩy người khác thực hiện tội phạm. Người giúp sức là người tạo điều kiện tinh thần hoặc vật chất cho việc thực hiện tội phạm.",definition_or_list,3,nguoi dong pham bao gom nguoi to chuc nguoi thuc hanh nguoi xui giuc nguoi giup suc nguoi thuc hanh la nguoi truc tiep thuc hien toi pham nguoi to chuc la nguoi chu muu cam dau chi huy viec thuc hien toi pham nguoi xui giuc la nguoi kich dong du do thuc day nguoi khac thuc hien toi pham nguoi giup suc la nguoi tao dieu kien tinh than hoac vat chat cho viec thuc hien toi pham
rule_article_17_clause_4,article_17,article_17_clause_4,Clause,17,4,,Người đồng phạm không phải chịu trách nhiệm hình sự về hành vi vượt quá của người thực hành.,exception_or_exemption,4,nguoi dong pham khong phai chiu trach nhiem hinh su ve hanh vi vuot qua cua nguoi thuc hanh
